Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall
10/2/22 20:46,6.38003E+17,1,6,1,3,2,3
10/2/22 20:47,6.38003E+17,0,7,2,4,2,3
10/2/22 20:51,6.38003E+17,2,5,1,3,2,2
10/2/22 20:52,6.38003E+17,1,3,2,4,0,0
10/2/22 20:58,6.38003E+17,2,3,1,2,1,1
10/2/22 20:59,6.38003E+17,2,3,2,5,0,0
10/2/22 21:03,6.38003E+17,2,3,1,3,1,1
10/2/22 21:04,6.38003E+17,2,3,2,5,2,2
10/2/22 21:06,6.38003E+17,2,2,1,3,1,0
10/2/22 21:07,6.38003E+17,0,2,2,3,0,1
10/3/22 18:34,6.38004E+17,2,3,1,3,2,0
10/3/22 18:34,6.38004E+17,0,1,2,0,0,0
10/3/22 19:41,6.38004E+17,2,3,1,2,2,0
10/3/22 21:24,6.38004E+17,2,1,1,2,0,0
10/3/22 22:42,6.38004E+17,2,1,1,3,0,0
10/4/22 14:47,6.38005E+17,2,1,1,2,0,0
10/4/22 17:32,6.38E+17,1,1,1,2,0,0
10/4/22 17:32,6.38E+17,0,2,2,4,1,0
10/4/22 17:36,6.38E+17,1,2,2,5,0,1
10/4/22 18:07,6.38E+17,1,2,1,3,1,0
10/4/22 18:08,6.38E+17,2,1,2,6,0,0
10/4/22 18:52,6.38E+17,2,7,1,3,2,4
10/5/22 0:59,6.38005E+17,4,1,1,3,0,0
10/5/22 17:33,6.38E+17,2,1,1,3,0,0
10/5/22 17:49,6.38E+17,2,8,2,8,1,6
10/5/22 18:32,6.38006E+17,1,2,1,2,0,1
10/5/22 18:32,6.38006E+17,0,1,2,0,0,0
10/5/22 18:32,6.38006E+17,0,1,2,0,0,0
10/5/22 18:44,6.38006E+17,1,1,1,8,0,0
10/5/22 21:53,6.38006E+17,1,1,1,3,0,0
10/5/22 23:06,6.38006E+17,0,1,1,3,0,0
10/5/22 23:13,6.38006E+17,2,1,1,3,0,0
10/5/22 23:14,6.38006E+17,2,1,1,3,0,0
10/5/22 23:29,6.38006E+17,1,2,1,3,1,0
10/6/22 0:44,6.38006E+17,2,1,1,3,0,0
10/6/22 0:44,6.38006E+17,0,1,2,0,0,0
10/6/22 0:45,6.38006E+17,2,2,2,5,0,1
10/6/22 0:50,6.38006E+17,1,3,1,2,1,1
10/6/22 0:53,6.38006E+17,1,1,1,2,0,0
10/6/22 1:13,6.38E+17,2,7,1,3,4,2
10/6/22 1:14,6.38E+17,2,1,2,5,0,0
10/6/22 1:15,6.38E+17,1,1,2,8,0,0
