Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall,TimeTaken
10/18/2022 17:14:35,"6,38,01,71,00,76,45,30,000.00",2,3,1,3,0,2,42.585
10/18/2022 17:30:35,"6,38,01,71,10,34,52,00,000.00",2,6,1,3,2,3,60.8
10/18/2022 18:35:28,"6,38,01,71,49,27,38,10,000.00",2,2,1,3,1,0,22.551
10/18/2022 18:35:57,"6,38,01,71,49,56,33,10,000.00",2,2,2,6,0,1,27.65
10/18/2022 18:39:47,"6,38,01,71,51,86,40,70,000.00",2,7,1,3,3,3,41.693
10/18/2022 19:00:29,"6,38,01,71,64,28,48,30,000.00",2,10,1,1,2,7,52.818
10/18/2022 19:37:37,"6,38,01,77,26,56,24,20,000.00",2,3,1,2,0,2,23.998
10/18/2022 19:43:04,"6,38,01,71,89,83,89,10,000.00",2,12,1,3,3,8,90.148
10/18/2022 19:44:24,"6,38,01,71,90,64,02,00,000.00",2,11,2,7,0,10,78.494
10/18/2022 19:54:21,"6,38,01,71,96,60,13,70,000.00",2,31,2,6,3,27,592.882
10/18/2022 19:57:23,"6,38,01,71,98,42,98,60,000.00",2,20,3,5,0,19,181.265
10/18/2022 20:03:51,"6,38,01,72,74,30,12,40,000.00",2,8,1,3,2,5,109.779
10/18/2022 20:04:13,"6,38,01,72,74,53,10,70,000.00",0,1,2,4,0,0,19.833
10/18/2022 20:38:52,"6,38,01,72,23,30,97,10,000.00",2,6,1,2,1,4,112.883
10/18/2022 20:40:03,"6,38,01,72,24,02,65,30,000.00",2,4,2,3,1,2,68.133
10/18/2022 20:40:28,"6,38,01,72,24,28,13,60,000.00",0,2,2,4,0,1,22.082
10/18/2022 20:53:33,"6,38,01,72,32,11,79,60,000.00",2,4,2,6,0,3,3356.621
10/18/2022 20:55:09,"6,38,01,72,33,08,85,60,000.00",2,8,2,8,0,7,95.35
10/18/2022 20:55:57,"6,38,01,72,33,56,87,30,000.00",1,5,3,4,0,4,46.525
10/18/2022 20:56:32,"6,38,01,72,33,91,30,20,000.00",2,1,3,5,0,0,31.625
10/18/2022 21:20:38,"6,38,01,72,48,37,24,10,000.00",2,1,1,3,0,0,52.432
10/18/2022 21:21:31,"6,38,01,72,48,90,24,00,000.00",2,3,2,6,0,2,51.365
10/18/2022 21:25:21,"6,38,01,72,51,20,83,80,000.00",2,16,3,5,1,14,228.397
10/19/2022 8:41:06,"6,38,01,76,56,65,17,90,000.00",2,5,1,3,2,2,34.648
10/19/2022 13:49:47,"6,38,01,78,41,86,34,50,000.00",2,1,1,3,0,0,31.766
10/19/2022 13:52:41,"6,38,01,78,43,60,37,90,000.00",1,17,2,4,1,15,172.269
10/19/2022 13:55:44,"6,38,01,78,45,43,52,90,000.00",1,14,3,3,1,12,177.551
10/19/2022 14:19:32,"6,38,01,78,59,71,74,20,000.00",2,3,1,3,0,2,809.155
10/19/2022 14:20:01,"6,38,01,78,60,00,69,20,000.00",1,1,2,2,0,0,27.034
10/19/2022 14:29:55,"6,38,01,78,65,95,32,60,000.00",2,2,1,3,1,0,45.199
10/19/2022 14:31:13,"6,38,01,78,66,73,38,50,000.00",2,7,2,8,1,5,76.804
10/19/2022 14:34:32,"6,38,01,78,68,72,41,70,000.00",2,12,3,5,1,10,197.933
10/19/2022 14:35:10,"6,38,01,78,69,10,15,40,000.00",1,18,2,3,1,16,704.61
10/19/2022 15:03:22,"6,38,01,78,86,01,01,70,000.00",2,1,1,3,0,0,18.194
10/19/2022 15:04:23,"6,38,01,78,86,62,84,70,000.00",2,4,2,7,0,3,46.968
10/19/2022 16:59:56,"6,38,01,79,55,95,90,30,000.00",2,3,1,2,1,1,41.765
10/19/2022 17:00:18,"6,38,01,79,56,17,47,00,000.00",2,1,1,2,0,0,18.633
10/19/2022 17:02:13,"6,38,01,79,57,32,97,20,000.00",4,13,2,6,2,10,112.969
10/19/2022 17:02:28,"6,38,01,79,57,48,00,50,000.00",0,1,3,2,0,0,12.15
10/19/2022 17:02:40,"6,38,01,79,57,59,72,20,000.00",0,1,3,2,0,0,9.25
10/19/2022 17:05:27,"6,38,01,79,59,26,86,70,000.00",4,11,1,2,4,6,104.666
10/19/2022 17:05:53,"6,38,01,79,59,52,21,50,000.00",2,2,2,4,0,1,22.883
10/19/2022 17:06:56,"6,38,01,79,60,16,03,00,000.00",1,7,2,4,2,4,61.582
10/19/2022 17:08:43,"6,38,01,79,61,22,49,90,000.00",2,11,2,3,3,7,103.735
10/19/2022 17:12:01,"6,38,01,79,63,20,92,90,000.00",4,12,3,2,3,8,194.031
10/19/2022 18:11:27,"6,38,01,79,98,86,91,40,000.00",2,1,1,3,0,0,18.345
10/19/2022 18:12:30,"6,38,01,79,99,49,53,00,000.00",2,6,2,6,0,5,60.317
10/19/2022 19:23:48,"6,38,01,80,42,27,28,50,000.00",2,5,1,3,3,1,52.212
10/19/2022 19:24:47,"6,38,01,80,42,86,98,10,000.00",2,9,2,5,2,6,58.313
10/19/2022 20:33:56,"6,38,01,80,84,35,23,70,000.00",2,1,1,3,0,0,20.666
10/19/2022 20:39:24,"6,38,01,80,87,63,33,50,000.00",4,4,1,4,1,2,111.084
10/19/2022 20:41:50,"6,38,01,80,89,09,38,40,000.00",4,11,2,7,0,10,144.334
10/19/2022 20:42:07,"6,38,01,80,89,27,10,10,000.00",2,6,1,3,3,2,35.58
10/19/2022 20:43:22,"6,38,01,80,90,01,68,40,000.00",2,14,2,6,1,12,72.717
10/19/2022 20:54:32,"6,38,01,80,96,71,57,70,000.00",2,1,1,3,0,0,45.119
